"tcit","tsta","s","s.cor"
"PHOENIX","AZ",4,0.670820393249937
"MIAMI","FL",3,0.592943090452882
"COLORADO SPRINGS","CO",2,0.275658923209986
"ALLENTOWN","PA",1,0.209459459459459
"AKRON","OH",1,0.171492767588439
"CHARLOTTE","NC",2,0.156139803442056
"BAKERSFIELD","CA",1,0.150648542691375
"SAN DIEGO","CA",2,0.142542094527506
"PORTLAND","OR",2,0.132648529304959
"PITTSBURGH","PA",1,0.131999436803604
"HONOLULU","HI",2,0.106133726101046
"RIVERSIDE","CA",1,0.0928832106813941
"OKLAHOMA CITY","OK",1,0.0886887477462902
"ROCHESTER","NY",1,0.0785981671900591
"SACRAMENTO","CA",1,0.0761860665031755
"SEATTLE","WA",1,0.0729000361646816
"TULSA","OK",1,0.0603286420936846
"SALT LAKE CITY","UT",1,0.0581893539840396
"ORLANDO","FL",1,0.0563063618228916
"ALBANY","NY",1,0.0542525639180773
"HOUSTON","TX",1,0.0470491571108463
"DENVER","CO",1,0.0339247000195102
"TUCSON","AZ",1,0.0323768888890118
"RICHMOND","VA",1,0.0307583125960433
"SAN JOSE","CA",2,0.0271204476483605
"NASHVILLE","TN",1,0.0260166666088106
"SAN ANTONIO","TX",1,0.0252637288317672
"CHICAGO","IL",1,0.0213012778819964
"LAS VEGAS","NV",1,0.0206514988034669
"LOS ANGELES","CA",1,0.0198097420919538
"MINNEAPOLIS","MN",1,0.00488483955048331
"ATLANTA","GA",1,-0.00172913387166412
"ALBUQUERQUE","NM",1,-0.00265778873812524
"BALTIMORE","MD",1,-0.00737210889863465
"KANSAS CITY","MO",1,-0.00770309629019634
"EL PASO","TX",1,-0.0123449734441775
"PROVIDENCE","RI",1,-0.0171599555763645
"MILWAUKEE","WI",1,-0.0267379679144385
"CHARLESTON","SC",1,-0.0279399378113556
"AUSTIN","TX",2,-0.032258064516129
"INDIANAPOLIS","IN",1,-0.0334170488890388
"FRESNO","CA",1,-0.0339226765776379
"HARTFORD","CT",1,-0.0349215147884789
"NEW YORK","NY",1,-0.0366295810886403
"SAN FRANCISCO","CA",1,-0.0402737174636152
"TAMPA","FL",1,-0.042833994625105
"ST LOUIS","MO",1,-0.04888630456253
"DALLAS","TX",1,-0.0492252191433892
"DETROIT","MI",1,-0.0504345609218164
"PHILADELPHIA","PA",1,-0.0534916184770578
"DAYTON","OH",1,-0.0581158061617838
"PROVO","UT",1,-0.0600300225187664
"FORT WORTH","TX",1,-0.0618898239046282
"OGDEN","UT",1,-0.061949328472919
"WASHINGTON","DC",2,-0.0641940738766369
"CINCINNATI","OH",1,-0.0670150577413156
"KNOXVILLE","TN",1,-0.0672064865454593
"BOSTON","MA",1,-0.0689304329152283
"JACKSONVILLE","FL",1,-0.07087116364842
"CONCORD","CA",1,-0.074458079104994
"LOUISVILLE","KY",1,-0.0762129444371082
"NEW ORLEANS","LA",1,-0.07698522025643
"COLUMBIA","SC",1,-0.0808452083454443
"BIRMINGHAM","AL",1,-0.086066296582387
"BATON ROUGE","LA",1,-0.0949157995752499
"CLEVELAND","OH",1,-0.0985184366143778
"DALLAS-FORT WORTH","TX",1,-0.102048971208729
"OMAHA","NE",1,-0.103220589547555
"COLUMBUS","OH",1,-0.103559676288098
"MEMPHIS","TN",1,-0.104767201135746
"NEW HAVEN","CT",1,-0.125
"RALEIGH","NC",1,-0.125656172487509
